Seconds,Voltage
0,5.27
0,5.27
0.000000001,5.27
0.000000001,5.28
0.000000002,5.28
0.000000002,5.28
0.000000003,5.28
0.000000003,5.28
0.000000004,5.28
0.000000004,5.27
0.000000005,5.27
0.000000005,5.27
0.000000006,5.27
0.000000006,5.26
0.000000007,5.26
0.000000007,5.26
0.000000008,5.26
0.000000008,5.26
0.000000009,5.27
0.000000009,5.27
0.00000001,5.27
0.00000001,5.27
0.000000011,5.27
0.000000011,5.28
0.000000012,5.28
0.000000012,5.28
0.000000013,5.28
0.000000013,5.28
0.000000014,5.28
0.000000014,5.27
0.000000015,5.27
0.000000015,5.27
0.000000016,5.27
0.000000016,5.26
0.000000017,5.26
0.000000017,5.26
0.000000018,5.26
0.000000018,5.26
0.000000019,5.27
0.000000019,5.27
0.00000002,5.27
0.00000002,5.27
0.000000021,5.27
0.000000021,5.27
0.000000022,5.27
0.000000022,5.27
0.000000023,5.27
0.000000023,5.27
0.000000024,5.27
0.000000024,5.27
0.000000025,5.27
0.000000025,5.27
0.000000026,5.26
0.000000026,5.26
0.000000027,5.26
0.000000027,5.26
0.000000028,5.26
0.000000028,5.27
0.000000029,5.27
0.000000029,5.27
0.00000003,5.27
0.00000003,5.27
0.000000031,5.27
0.000000031,5.28
0.000000032,5.28
0.000000032,5.27
0.000000033,5.27
0.000000033,5.27
0.000000034,5.27
0.000000034,5.27
0.000000035,5.27
0.000000035,5.26
0.000000036,5.26
0.000000036,5.26
0.000000037,5.26
0.000000037,5.26
0.000000038,5.26
0.000000038,5.27
0.000000039,5.27
0.000000039,5.27
0.00000004,5.27
0.00000004,5.28
0.000000041,5.28
0.000000041,5.28
0.000000042,5.28
0.000000042,5.27
0.000000043,5.27
0.000000043,5.27
0.000000044,5.27
0.000000044,5.27
0.000000045,5.26
0.000000045,5.26
0.000000046,5.26
0.000000046,5.26
0.000000047,5.27
0.000000047,5.27
0.000000048,5.27
0.000000048,5.27
0.000000049,5.27
0.000000049,5.28
0.00000005,5.28
0.00000005,5.28
0.000000051,5.28
0.000000051,5.27
0.000000052,5.27
0.000000052,5.27
0.000000053,5.27
0.000000053,5.27
0.000000054,5.27
0.000000054,5.26
0.000000055,5.26
0.000000055,5.26
0.000000056,5.26
0.000000056,5.26
0.000000057,5.27
0.000000057,5.27
0.000000058,5.27
0.000000058,5.27
0.000000059,5.27
0.000000059,5.28
0.00000006,5.28
0.00000006,5.27
0.000000061,5.27
0.000000061,5.27
0.000000062,5.27
0.000000062,5.27
0.000000063,5.27
0.000000063,5.26
0.000000064,5.26
0.000000064,5.26
0.000000065,5.26
0.000000065,5.27
0.000000066,5.27
0.000000066,5.27
0.000000067,5.27
0.000000067,5.27
0.000000068,5.27
0.000000068,5.27
0.000000069,5.27
0.000000069,5.27
0.00000007,5.27
0.00000007,5.27
0.000000071,5.27
0.000000071,5.26
0.000000072,5.26
0.000000072,5.26
0.000000073,5.26
0.000000073,5.26
0.000000074,5.26
0.000000074,5.26
0.000000075,5.27
0.000000075,5.27
0.000000076,5.27
0.000000076,5.27
0.000000077,5.27
0.000000077,5.27
0.000000078,5.27
0.000000078,5.27
0.000000079,5.27
0.000000079,5.27
0.00000008,5.27
0.00000008,5.27
0.000000081,5.27
0.000000081,5.26
0.000000082,5.26
0.000000082,5.26
0.000000083,5.26
0.000000083,5.26
0.000000084,5.26
0.000000084,5.26
0.000000085,5.27
0.000000085,5.27
0.000000086,5.27
0.000000086,5.27
0.000000087,5.27
0.000000087,5.27
0.000000088,5.27
0.000000088,5.27
0.000000089,5.27
0.000000089,5.27
0.00000009,5.27
0.00000009,5.27
0.000000091,5.26
0.000000091,5.26
0.000000092,5.26
0.000000092,5.26
0.000000093,5.26
0.000000093,5.26
0.000000094,5.26
0.000000094,5.27
0.000000095,5.27
0.000000095,5.27
0.000000096,5.27
0.000000096,5.28
0.000000097,5.28
0.000000097,5.28
0.000000098,5.28
0.000000098,5.27
0.000000099,5.27
0.000000099,5.26
0.0000001,5.26
0.0000001,5.25
0.000000101,5.25
0.000000101,5.25
0.000000102,5.25
0.000000102,5.25
0.000000103,5.25
0.000000103,5.26
0.000000104,5.26
0.000000104,5.27
0.000000105,5.27
0.000000105,5.27
0.000000106,5.28
0.000000106,5.28
0.000000107,5.28
0.000000107,5.28
0.000000108,5.28
0.000000108,5.27
0.000000109,5.27
0.000000109,5.27
0.00000011,5.26
0.00000011,5.26
0.000000111,5.25
0.000000111,5.25
0.000000112,5.25
0.000000112,5.25
0.000000113,5.26
0.000000113,5.26
0.000000114,5.27
0.000000114,5.27
0.000000115,5.27
0.000000115,5.27
0.000000116,5.28
0.000000116,5.28
0.000000117,5.28
0.000000117,5.28
0.000000118,5.27
0.000000118,5.27
0.000000119,5.27
0.000000119,5.27
0.00000012,5.26
0.00000012,5.26
0.000000121,5.25
0.000000121,5.25
0.000000122,5.25
0.000000122,5.25
0.000000123,5.25
0.000000123,5.26
0.000000124,5.26
0.000000124,5.27
0.000000125,5.27
0.000000125,5.27
0.000000126,5.27
0.000000126,5.27
0.000000127,5.28
0.000000127,5.28
0.000000128,5.28
0.000000128,5.27
0.000000129,5.27
0.000000129,5.27
0.00000013,5.26
0.00000013,5.26
0.000000131,5.26
0.000000131,5.25
0.000000132,5.25
0.000000132,5.25
0.000000133,5.26
0.000000133,5.26
0.000000134,5.26
0.000000134,5.27
0.000000135,5.27
0.000000135,5.27
0.000000136,5.27
0.000000136,5.27
0.000000137,5.27
0.000000137,5.27
0.000000138,5.27
0.000000138,5.27
0.000000139,5.27
0.000000139,5.27
0.00000014,5.27
0.00000014,5.26
0.000000141,5.26
0.000000141,5.26
0.000000142,5.26
0.000000142,5.26
0.000000143,5.26
0.000000143,5.26
0.000000144,5.26
0.000000144,5.26
0.000000145,5.27
0.000000145,5.27
0.000000146,5.27
0.000000146,5.27
0.000000147,5.27
0.000000147,5.27
0.000000148,5.27
0.000000148,5.27
0.000000149,5.27
0.000000149,5.27
0.00000015,5.27
0.000000151,5.27
0.000000151,5.27
0.000000152,5.27
0.000000152,5.26
0.000000153,5.26
0.000000153,5.26
0.000000154,5.26
0.000000154,5.26
0.000000155,5.26
0.000000155,5.26
0.000000156,5.26
0.000000156,5.26
0.000000157,5.26
0.000000157,5.26
0.000000158,5.27
0.000000158,5.27
0.000000159,5.27
0.000000159,5.27
0.00000016,5.27
0.00000016,5.27
0.000000161,5.27
0.000000161,5.27
0.000000162,5.27
0.000000162,5.27
0.000000163,5.27
0.000000163,5.26
0.000000164,5.26
0.000000164,5.26
0.000000165,5.26
0.000000165,5.26
0.000000166,5.26
0.000000166,5.26
0.000000167,5.26
0.000000167,5.26
0.000000168,5.26
0.000000168,5.27
0.000000169,5.27
0.000000169,5.27
0.00000017,5.27
0.00000017,5.27
0.000000171,5.27
0.000000171,5.27
0.000000172,5.27
0.000000172,5.27
0.000000173,5.26
0.000000173,5.26
0.000000174,5.25
0.000000174,5.25
0.000000175,5.25
0.000000175,5.25
0.000000176,5.25
0.000000176,5.25
0.000000177,5.25
0.000000177,5.26
0.000000178,5.26
0.000000178,5.26
0.000000179,5.27
0.000000179,5.27
0.00000018,5.27
0.00000018,5.27
0.000000181,5.27
0.000000181,5.27
0.000000182,5.27
0.000000182,5.27
0.000000183,5.27
0.000000183,5.26
0.000000184,5.26
0.000000184,5.26
0.000000185,5.26
0.000000185,5.26
0.000000186,5.26
0.000000186,5.26
0.000000187,5.26
0.000000187,5.26
0.000000188,5.26
0.000000188,5.26
0.000000189,5.27
0.000000189,5.27
0.00000019,5.27
0.00000019,5.27
0.000000191,5.27
0.000000191,5.27
0.000000192,5.27
0.000000192,5.27
0.000000193,5.27
0.000000193,5.27
0.000000194,5.26
0.000000194,5.26
0.000000195,5.25
0.000000195,5.25
0.000000196,5.25
0.000000196,5.25
0.000000197,5.25
0.000000197,5.26
0.000000198,5.26
0.000000198,5.26
0.000000199,5.26
0.000000199,5.27
0.0000002,5.27
0.0000002,5.27
0.000000201,5.27
0.000000201,5.27
0.000000202,5.27
0.000000202,5.27
0.000000203,5.27
0.000000203,5.27
0.000000204,5.26
0.000000204,5.26
0.000000205,5.25
0.000000205,5.25
0.000000206,5.25
0.000000206,5.24
0.000000207,5.24
0.000000207,5.24
0.000000208,5.24
0.000000208,5.25
0.000000209,5.25
0.000000209,5.26
0.00000021,5.26
0.00000021,5.27
0.000000211,5.27
0.000000211,5.27
0.000000212,5.27
0.000000212,5.27
0.000000213,5.27
0.000000213,5.26
0.000000214,5.26
0.000000214,5.26
0.000000215,5.26
0.000000215,5.26
0.000000216,5.26
0.000000216,5.27
0.000000217,5.27
0.000000217,5.27
0.000000218,5.27
0.000000218,5.28
0.000000219,5.28
0.000000219,5.28
0.00000022,5.28
0.00000022,5.27
0.000000221,5.27
0.000000221,5.26
0.000000222,5.26
0.000000222,5.25
0.000000223,5.25
0.000000223,5.25
0.000000224,5.25
0.000000224,5.25
0.000000225,5.25
0.000000225,5.25
0.000000226,5.26
0.000000226,5.26
0.000000227,5.26
0.000000227,5.26
0.000000228,5.26
0.000000228,5.26
0.000000229,5.26
0.000000229,5.26
0.00000023,5.27
0.00000023,5.27
0.000000231,5.27
0.000000231,5.27
0.000000232,5.27
0.000000232,5.27
0.000000233,5.27
0.000000233,5.27
0.000000234,5.27
0.000000234,5.26
0.000000235,5.26
0.000000235,5.25
0.000000236,5.25
0.000000236,5.25
0.000000237,5.25
0.000000237,5.25
0.000000238,5.25
0.000000238,5.26
0.000000239,5.26
0.000000239,5.26
0.00000024,5.26
0.00000024,5.26
0.000000241,5.25
0.000000241,5.24
0.000000242,5.23
0.000000242,5.22
0.000000243,5.21
0.000000243,5.19
0.000000244,5.18
0.000000244,5.17
0.000000245,5.17
0.000000245,5.16
0.000000246,5.16
0.000000246,5.16
0.000000247,5.16
0.000000247,5.17
0.000000248,5.19
0.000000248,5.2
0.000000249,5.22
0.000000249,5.24
0.00000025,5.26
0.00000025,5.28
0.000000251,5.29
0.000000251,5.31
0.000000252,5.33
0.000000252,5.34
0.000000253,5.35
0.000000253,5.36
0.000000254,5.37
0.000000254,5.38
0.000000255,5.38
0.000000255,5.38
0.000000256,5.38
0.000000256,5.37
0.000000257,5.36
0.000000257,5.34
0.000000258,5.32
0.000000258,5.3
0.000000259,5.28
0.000000259,5.25
0.00000026,5.23
0.00000026,5.21
0.000000261,5.19
0.000000261,5.17
0.000000262,5.16
0.000000262,5.15
0.000000263,5.14
0.000000263,5.14
0.000000264,5.13
0.000000264,5.13
0.000000265,5.14
0.000000265,5.14
0.000000266,5.15
0.000000266,5.16
0.000000267,5.18
0.000000267,5.2
0.000000268,5.23
0.000000268,5.25
0.000000269,5.28
0.000000269,5.31
0.00000027,5.33
0.00000027,5.35
0.000000271,5.37
0.000000271,5.38
0.000000272,5.39
0.000000272,5.39
0.000000273,5.39
0.000000273,5.39
0.000000274,5.37
0.000000274,5.37
0.000000275,5.35
0.000000275,5.33
0.000000276,5.32
0.000000276,5.3
0.000000277,5.28
0.000000277,5.26
0.000000278,5.24
0.000000278,5.22
0.000000279,5.21
0.000000279,5.19
0.00000028,5.18
0.00000028,5.17
0.000000281,5.17
0.000000281,5.16
0.000000282,5.16
0.000000282,5.17
0.000000283,5.17
0.000000283,5.17
0.000000284,5.18
0.000000284,5.19
0.000000285,5.2
0.000000285,5.21
0.000000286,5.23
0.000000286,5.24
0.000000287,5.26
0.000000287,5.28
0.000000288,5.29
0.000000288,5.31
0.000000289,5.32
0.000000289,5.33
0.00000029,5.33
0.00000029,5.34
0.000000291,5.34
0.000000291,5.33
0.000000292,5.33
0.000000292,5.33
0.000000293,5.32
0.000000293,5.31
0.000000294,5.3
0.000000294,5.29
0.000000295,5.27
0.000000295,5.26
0.000000296,5.25
0.000000296,5.24
0.000000297,5.23
0.000000297,5.22
0.000000298,5.21
0.000000298,5.21
0.000000299,5.21
0.000000299,5.21
0.0000003,5.21
0.0000003,5.21
0.000000301,5.21
0.000000301,5.22
0.000000302,5.23
0.000000302,5.23
0.000000303,5.24
0.000000303,5.25
0.000000304,5.25
0.000000304,5.26
0.000000305,5.27
0.000000305,5.27
0.000000306,5.28
0.000000306,5.28
0.000000307,5.29
0.000000307,5.29
0.000000308,5.29
0.000000308,5.29
0.000000309,5.29
0.000000309,5.29
0.00000031,5.29
0.00000031,5.28
0.000000311,5.28
0.000000311,5.27
0.000000312,5.27
0.000000312,5.27
0.000000313,5.26
0.000000313,5.26
0.000000314,5.26
0.000000314,5.25
0.000000315,5.25
0.000000315,5.25
0.000000316,5.24
0.000000316,5.24
0.000000317,5.24
0.000000317,5.24
0.000000318,5.23
0.000000318,5.24
0.000000319,5.24
0.000000319,5.24
0.00000032,5.24
0.00000032,5.24
0.000000321,5.24
0.000000321,5.25
0.000000322,5.25
0.000000322,5.25
0.000000323,5.25
0.000000323,5.25
0.000000324,5.25
0.000000324,5.26
0.000000325,5.26
0.000000325,5.26
0.000000326,5.27
0.000000326,5.27
0.000000327,5.27
0.000000327,5.27
0.000000328,5.27
0.000000328,5.27
0.000000329,5.27
0.000000329,5.27
0.00000033,5.27
0.00000033,5.26
0.000000331,5.26
0.000000331,5.26
0.000000332,5.25
0.000000332,5.25
0.000000333,5.25
0.000000333,5.25
0.000000334,5.25
0.000000334,5.25
0.000000335,5.25
0.000000335,5.25
0.000000336,5.25
0.000000336,5.25
0.000000337,5.25
0.000000337,5.25
0.000000338,5.25
0.000000338,5.25
0.000000339,5.25
0.000000339,5.25
0.00000034,5.25
0.00000034,5.25
0.000000341,5.25
0.000000341,5.25
0.000000342,5.25
0.000000342,5.25
0.000000343,5.25
0.000000343,5.26
0.000000344,5.26
0.000000344,5.26
0.000000345,5.26
0.000000345,5.27
0.000000346,5.27
0.000000346,5.27
0.000000347,5.27
0.000000347,5.26
0.000000348,5.26
0.000000348,5.26
0.000000349,5.26
0.000000349,5.25
0.00000035,5.25
0.00000035,5.25
0.000000351,5.25
0.000000351,5.26
0.000000352,5.26
0.000000352,5.26
0.000000353,5.26
0.000000353,5.27
0.000000354,5.27
0.000000354,5.27
0.000000355,5.27
0.000000355,5.27
0.000000356,5.26
0.000000356,5.26
0.000000357,5.25
0.000000357,5.25
0.000000358,5.25
0.000000358,5.25
0.000000359,5.24
0.000000359,5.24
0.00000036,5.24
0.00000036,5.25
0.000000361,5.25
0.000000361,5.25
0.000000362,5.25
0.000000362,5.25
0.000000363,5.26
0.000000363,5.26
0.000000364,5.26
0.000000364,5.27
0.000000365,5.27
0.000000365,5.27
0.000000366,5.26
0.000000366,5.26
0.000000367,5.26
0.000000367,5.25
0.000000368,5.25
0.000000368,5.25
0.000000369,5.25
0.000000369,5.25
0.00000037,5.25
0.00000037,5.25
0.000000371,5.25
0.000000371,5.25
0.000000372,5.26
0.000000372,5.26
0.000000373,5.26
0.000000373,5.26
0.000000374,5.26
0.000000374,5.26
0.000000375,5.26
0.000000375,5.26
0.000000376,5.26
0.000000376,5.25
0.000000377,5.25
0.000000377,5.25
0.000000378,5.25
0.000000378,5.25
0.000000379,5.25
0.000000379,5.25
0.00000038,5.25
0.00000038,5.25
0.000000381,5.25
0.000000381,5.25
0.000000382,5.26
0.000000382,5.26
0.000000383,5.27
0.000000383,5.27
0.000000384,5.27
0.000000384,5.27
0.000000385,5.27
0.000000385,5.27
0.000000386,5.26
0.000000386,5.26
0.000000387,5.25
0.000000387,5.25
0.000000388,5.24
0.000000388,5.24
0.000000389,5.24
0.000000389,5.24
0.00000039,5.25
0.00000039,5.25
0.000000391,5.25
0.000000391,5.26
0.000000392,5.27
0.000000392,5.27
0.000000393,5.27
0.000000393,5.27
0.000000394,5.27
0.000000394,5.27
0.000000395,5.26
0.000000395,5.26
0.000000396,5.25
0.000000396,5.25
0.000000397,5.25
0.000000397,5.24
0.000000398,5.24
0.000000398,5.24
0.000000399,5.24
0.000000399,5.24
0.0000004,5.25
0.0000004,5.25
0.000000401,5.25
0.000000401,5.26
0.000000402,5.26
0.000000402,5.27
0.000000403,5.27
0.000000403,5.27
0.000000404,5.27
0.000000404,5.26
0.000000405,5.26
0.000000405,5.26
0.000000406,5.25
0.000000406,5.25
0.000000407,5.25
0.000000407,5.25
0.000000408,5.25
0.000000408,5.25
0.000000409,5.25
0.000000409,5.25
0.00000041,5.25
0.00000041,5.25
0.000000411,5.25
0.000000411,5.26
0.000000412,5.26
0.000000412,5.26
0.000000413,5.26
0.000000413,5.26
0.000000414,5.26
0.000000414,5.25
0.000000415,5.25
0.000000415,5.25
0.000000416,5.25
0.000000416,5.25
0.000000417,5.25
0.000000417,5.25
0.000000418,5.25
0.000000418,5.25
0.000000419,5.25
0.000000419,5.25
0.00000042,5.25
0.00000042,5.25
0.000000421,5.26
0.000000421,5.26
0.000000422,5.26
0.000000422,5.26
0.000000423,5.26
0.000000423,5.26
0.000000424,5.26
0.000000424,5.26
0.000000425,5.25
0.000000425,5.25
0.000000426,5.25
0.000000426,5.25
0.000000427,5.25
0.000000427,5.25
0.000000428,5.25
0.000000428,5.25
0.000000429,5.25
0.000000429,5.25
0.00000043,5.26
0.00000043,5.26
0.000000431,5.26
0.000000431,5.26
0.000000432,5.26
0.000000432,5.26
0.000000433,5.26
0.000000433,5.26
0.000000434,5.25
0.000000434,5.25
0.000000435,5.25
0.000000435,5.25
0.000000436,5.24
0.000000436,5.24
0.000000437,5.24
0.000000437,5.24
0.000000438,5.24
0.000000438,5.25
0.000000439,5.25
0.000000439,5.25
0.00000044,5.26
0.00000044,5.26
0.000000441,5.26
0.000000441,5.26
0.000000442,5.26
0.000000442,5.26
0.000000443,5.26
0.000000443,5.26
0.000000444,5.25
0.000000444,5.25
0.000000445,5.25
0.000000445,5.25
0.000000446,5.25
0.000000446,5.25
0.000000447,5.25
0.000000447,5.25
0.000000448,5.25
0.000000448,5.25
0.000000449,5.26
0.000000449,5.26
0.00000045,5.26
0.00000045,5.26
0.000000451,5.26
0.000000451,5.26
0.000000452,5.26
0.000000452,5.26
0.000000453,5.25
0.000000453,5.25
0.000000454,5.25
0.000000454,5.25
0.000000455,5.25
0.000000455,5.25
0.000000456,5.25
0.000000456,5.25
0.000000457,5.25
0.000000457,5.25
0.000000458,5.25
0.000000458,5.25
0.000000459,5.25
0.000000459,5.26
0.00000046,5.26
0.00000046,5.25
0.000000461,5.25
0.000000461,5.25
0.000000462,5.25
0.000000462,5.25
0.000000463,5.25
0.000000463,5.25
0.000000464,5.25
0.000000464,5.25
0.000000465,5.25
0.000000465,5.25
0.000000466,5.25
0.000000466,5.25
0.000000467,5.25
0.000000467,5.25
0.000000468,5.25
0.000000468,5.26
0.000000469,5.26
0.000000469,5.26
0.00000047,5.26
0.00000047,5.26
0.000000471,5.26
0.000000471,5.26
0.000000472,5.25
0.000000472,5.25
0.000000473,5.25
0.000000473,5.25
0.000000474,5.25
0.000000474,5.25
0.000000475,5.25
0.000000475,5.25
0.000000476,5.25
0.000000476,5.25
0.000000477,5.25
0.000000477,5.25
0.000000478,5.25
0.000000478,5.25
0.000000479,5.25
0.000000479,5.25
0.00000048,5.25
0.00000048,5.25
0.000000481,5.25
0.000000481,5.25
0.000000482,5.25
0.000000482,5.25
0.000000483,5.25
0.000000483,5.25
0.000000484,5.25
0.000000484,5.25
0.000000485,5.26
0.000000485,5.26
0.000000486,5.25
0.000000486,5.25
0.000000487,5.25
0.000000487,5.26
0.000000488,5.26
0.000000488,5.26
0.000000489,5.26
0.000000489,5.26
0.00000049,5.26
0.00000049,5.25
0.000000491,5.25
0.000000491,5.25
0.000000492,5.25
0.000000492,5.25
0.000000493,5.25
0.000000493,5.25
0.000000494,5.25
0.000000494,5.25
0.000000495,5.25
0.000000495,5.25
0.000000496,5.25
0.000000496,5.26
0.000000497,5.26
0.000000497,5.26
0.000000498,5.26
0.000000498,5.25
0.000000499,5.25
0.000000499,5.25
0.0000005,5.25
